date,rank,keyword
2026-08-20,1,쌀20kg
2026-08-20,2,복숭아
2026-08-20,3,닭가슴살
2026-08-20,4,쌀10kg
2026-08-20,5,오메가3
2026-08-20,6,옥수수
2026-08-20,7,수박
2026-08-20,8,생수
2026-08-20,9,탄산수
2026-08-20,10,마그네슘
2026-08-20,11,바위굴
2026-08-20,12,포카리스웨트
2026-08-20,13,수향미10kg
2026-08-20,14,유산균
2026-08-20,15,파라다이스그레인
2026-08-20,16,비타민c
2026-08-20,17,링티
2026-08-20,18,두유
2026-08-20,19,무화과
2026-08-20,20,올리브오일
2026-08-20,21,조선호텔김치
2026-08-20,22,멸균우유
2026-08-20,23,자두
2026-08-20,24,콘드로이친
2026-08-20,25,사과
2026-08-20,26,김치
2026-08-20,27,뉴케어
2026-08-20,28,크레아틴
2026-08-20,29,뉴케어구수한맛
2026-08-20,30,카무트효소
2026-08-20,31,임박
2026-08-20,32,그릭요거트
2026-08-20,33,레몬즙
2026-08-20,34,블루베리
2026-08-20,35,학가산김치
2026-08-20,36,베르베린
2026-08-20,37,견과류
2026-08-20,38,토마토
2026-08-20,39,오징어
2026-08-20,40,찹쌀누룽지과자
2026-08-20,41,두부면
2026-08-20,42,아이스크림
2026-08-20,43,전복
2026-08-20,44,젖산마그네슘
2026-08-20,45,미숫가루
2026-08-20,46,맥심모카골드
2026-08-20,47,열무김치
2026-08-20,48,콜라겐
2026-08-20,49,안동학가산김치
2026-08-20,50,삼계탕
2026-08-20,51,냉동블루베리
2026-08-20,52,계란
2026-08-20,53,참기름
2026-08-20,54,창억떡
2026-08-20,55,병아리콩
2026-08-20,56,레드와인비니거
2026-08-20,57,수향미
2026-08-20,58,하루견과
2026-08-20,59,멜라토닌
2026-08-20,60,참외
2026-08-20,61,문어
2026-08-20,62,진미채
2026-08-20,63,삼다수2l
2026-08-20,64,도미솔김치
2026-08-20,65,포스파티딜세린
2026-08-20,66,단백질쉐이크
2026-08-20,67,콘드로이친1200
2026-08-20,68,햇반
2026-08-20,69,포카리스웨트340
2026-08-20,70,감자
2026-08-20,71,비타민d
2026-08-20,72,단호박
2026-08-20,73,딱딱이복숭아
2026-08-20,74,삼다수
2026-08-20,75,오이
2026-08-20,76,생수2l
2026-08-20,77,모짜렐라치즈
2026-08-20,78,쌀
2026-08-20,79,괴산대학찰옥수수
2026-08-20,80,la갈비
2026-08-20,81,당근주스
2026-08-20,82,단백질음료
2026-08-20,83,아몬드
2026-08-20,84,장어
2026-08-20,85,비에날17유산균
2026-08-20,86,야채도사
2026-08-20,87,뼈엔엠비피mbp
2026-08-20,88,생크림
2026-08-20,89,닭다리살
2026-08-20,90,서울우유한끼식사
2026-08-20,91,루테인
2026-08-20,92,루테인지아잔틴
2026-08-20,93,장사의신쇼핑몰
2026-08-20,94,갈비탕
2026-08-20,95,꽃보다오징어
2026-08-20,96,명가삼대떡집
2026-08-20,97,냉면육수
2026-08-20,98,마른오징어
2026-08-20,99,고구마
2026-08-20,100,생새우
2026-08-20,101,구운계란
2026-08-20,102,알부민
