date,rank,keyword
2026-06-17,1,닭가슴살
2026-06-17,2,프로틴
2026-06-17,3,제로음료
2026-06-17,4,밀키트
2026-06-17,5,오메가3
2026-06-17,6,비건
2026-06-17,7,저당
2026-06-17,8,곤약
2026-06-17,9,샐러드
2026-06-17,10,요거트
