date,rank,keyword
2026-08-28,1,쌀20kg
2026-08-28,2,복숭아
2026-08-28,3,닭가슴살
2026-08-28,4,오메가3
2026-08-28,5,쌀10kg
2026-08-28,6,옥수수
2026-08-28,7,무화과
2026-08-28,8,수박
2026-08-28,9,마그네슘
2026-08-28,10,생수
2026-08-28,11,바위굴
2026-08-28,12,유산균
2026-08-28,13,탄산수
2026-08-28,14,수향미10kg
2026-08-28,15,파라다이스그레인
2026-08-28,16,비타민c
2026-08-28,17,두유
2026-08-28,18,포카리스웨트
2026-08-28,19,올리브오일
2026-08-28,20,조선호텔김치
2026-08-28,21,멸균우유
2026-08-28,22,콘드로이친
2026-08-28,23,사과
2026-08-28,24,김치
2026-08-28,25,자두
2026-08-28,26,토마토
2026-08-28,27,도미솔김치
2026-08-28,28,학가산김치
2026-08-28,29,젖산마그네슘
2026-08-28,30,링티
2026-08-28,31,베르베린
2026-08-28,32,임박
2026-08-28,33,뉴케어
2026-08-28,34,뉴케어구수한맛
2026-08-28,35,카무트효소
2026-08-28,36,견과류
2026-08-28,37,크레아틴
2026-08-28,38,오징어
2026-08-28,39,그릭요거트
2026-08-28,40,레몬즙
2026-08-28,41,안동학가산김치
2026-08-28,42,찹쌀누룽지과자
2026-08-28,43,맥심모카골드
2026-08-28,44,레드와인비니거
2026-08-28,45,꽃게
2026-08-28,46,전복
2026-08-28,47,생크림
2026-08-28,48,열무김치
2026-08-28,49,la갈비
2026-08-28,50,멜라토닌
2026-08-28,51,일리커피캡슐
2026-08-28,52,콘드로이친1200
2026-08-28,53,참기름
2026-08-28,54,창억떡
2026-08-28,55,수향미
2026-08-28,56,하루견과
2026-08-28,57,콜라겐
2026-08-28,58,포카리스웨트340
2026-08-28,59,진미채
2026-08-28,60,아이스크림
2026-08-28,61,블루베리
2026-08-28,62,냉동블루베리
2026-08-28,63,포스파티딜세린
2026-08-28,64,비타민d
2026-08-28,65,두부면
2026-08-28,66,쌀
2026-08-28,67,미숫가루
2026-08-28,68,명가삼대떡집
2026-08-28,69,병아리콩
2026-08-28,70,참외
2026-08-28,71,햇반
2026-08-28,72,생수2l
2026-08-28,73,오이
2026-08-28,74,단백질쉐이크
2026-08-28,75,커큐민
2026-08-28,76,계란
2026-08-28,77,포도
2026-08-28,78,아몬드
2026-08-28,79,삼다수2l
2026-08-28,80,삼다수
2026-08-28,81,서울우유한끼식사
2026-08-28,82,장어
2026-08-28,83,고구마
2026-08-28,84,당근주스
2026-08-28,85,모짜렐라치즈
2026-08-28,86,단백질음료
2026-08-28,87,알파cd
2026-08-28,88,감자
2026-08-28,89,단호박
2026-08-28,90,문어
2026-08-28,91,딱딱이복숭아
2026-08-28,92,뼈엔엠비피mbp
2026-08-28,93,꽃보다오징어
2026-08-28,94,정관장
2026-08-28,95,비에날17유산균
2026-08-28,96,납작복숭아
2026-08-28,97,닭다리살
2026-08-28,98,아르기닌
2026-08-28,99,황태채
2026-08-28,100,루테인지아잔틴
2026-08-28,101,생새우
2026-08-28,102,종가집포기김치
2026-08-28,103,코엔자임q10
2026-08-28,104,샤인머스켓
2026-08-28,105,야채도사
2026-08-28,106,양배추즙
2026-08-28,107,참치캔
2026-08-28,108,정관장에브리타임
2026-08-28,109,갈비탕
2026-08-28,110,땅콩버터
2026-08-28,111,육포
2026-08-28,112,고등어
2026-08-28,113,알부민
2026-08-28,114,루테인
2026-08-28,115,구운계란
2026-08-28,116,참외10kg
2026-08-28,117,간장게장
2026-08-28,118,버터
2026-08-28,119,생수500
2026-08-28,120,올리브유
2026-08-28,121,고추장
2026-08-28,122,마른오징어
2026-08-28,123,새우
2026-08-28,124,무늬오징어
2026-08-28,125,고춧가루
2026-08-28,126,퀘르포민정
2026-08-28,127,깻잎
2026-08-28,128,호두
2026-08-28,129,오트밀
2026-08-28,130,락토핏유산균
2026-08-28,131,삼계탕
2026-08-28,132,능이버섯
2026-08-28,133,흑염소진액
2026-08-28,134,고려은단비타민c1000
2026-08-28,135,얼박사
2026-08-28,136,검은콩두유
2026-08-28,137,코큐텐
2026-08-28,138,구강유산균
2026-08-28,139,홍삼
2026-08-28,140,반찬
2026-08-28,141,삼겹살
2026-08-28,142,민어회
2026-08-28,143,전어회
2026-08-28,144,괴산대학찰옥수수
2026-08-28,145,멀티비타민
2026-08-28,146,킹크랩
2026-08-28,147,종합비타민
2026-08-28,148,뉴케어당플랜
2026-08-28,149,차전자피
2026-08-28,150,추석선물세트
2026-08-28,151,bnr17유산균
2026-08-28,152,불닭마요소스
2026-08-28,153,냉면육수
2026-08-28,154,들기름
2026-08-28,155,트러플하몽크래커
2026-08-28,156,양파
2026-08-28,157,마그네슘영양제
2026-08-28,158,초당옥수수
2026-08-28,159,밀크씨슬
2026-08-28,160,찰옥수수
2026-08-28,161,무알콜맥주
2026-08-28,162,맥주효모
2026-08-28,163,답례품
2026-08-28,164,총각김치
2026-08-28,165,이노시톨
2026-08-28,166,덴마크유산균
2026-08-28,167,장사의신쇼핑몰
2026-08-28,168,전투식량
