date,rank,keyword
2026-08-12,1,쌀20kg
2026-08-12,2,복숭아
2026-08-12,3,닭가슴살
2026-08-12,4,옥수수
2026-08-12,5,쌀10kg
2026-08-12,6,오메가3
2026-08-12,7,수박
2026-08-12,8,생수
2026-08-12,9,탄산수
2026-08-12,10,포카리스웨트
2026-08-12,11,링티
2026-08-12,12,바위굴
2026-08-12,13,수향미10kg
2026-08-12,14,마그네슘
2026-08-12,15,유산균
2026-08-12,16,비타민c
2026-08-12,17,자두
2026-08-12,18,파라다이스그레인
2026-08-12,19,삼계탕
2026-08-12,20,올리브오일
2026-08-12,21,두유
2026-08-12,22,조선호텔김치
2026-08-12,23,콘드로이친
2026-08-12,24,멸균우유
2026-08-12,25,아이스크림
2026-08-12,26,블루베리
2026-08-12,27,사과
2026-08-12,28,임박
2026-08-12,29,김치
2026-08-12,30,그릭요거트
2026-08-12,31,열무김치
2026-08-12,32,오징어
2026-08-12,33,크레아틴
2026-08-12,34,뉴케어
2026-08-12,35,콜라겐
2026-08-12,36,찹쌀누룽지과자
2026-08-12,37,뉴케어구수한맛
2026-08-12,38,토마토
2026-08-12,39,레몬즙
2026-08-12,40,미숫가루
2026-08-12,41,전복
2026-08-12,42,무화과
2026-08-12,43,문어
2026-08-12,44,카무트효소
2026-08-12,45,견과류
2026-08-12,46,참외
2026-08-12,47,베르베린
2026-08-12,48,학가산김치
2026-08-12,49,계란
2026-08-12,50,괴산대학찰옥수수
2026-08-12,51,맥심모카골드
2026-08-12,52,냉동블루베리
2026-08-12,53,참기름
2026-08-12,54,레드와인비니거
2026-08-12,55,창억떡
2026-08-12,56,감자
2026-08-12,57,야채도사
2026-08-12,58,오이
2026-08-12,59,하루견과
2026-08-12,60,수향미
2026-08-12,61,병아리콩
2026-08-12,62,두부면
2026-08-12,63,안동학가산김치
2026-08-12,64,포스파티딜세린
2026-08-12,65,단백질쉐이크
2026-08-12,66,젖산마그네슘
2026-08-12,67,장사의신쇼핑몰
2026-08-12,68,삼다수2l
2026-08-12,69,포카리스웨트340
2026-08-12,70,진미채
2026-08-12,71,알부민
2026-08-12,72,햇반
2026-08-12,73,생수2l
2026-08-12,74,멜라토닌
2026-08-12,75,냉면육수
2026-08-12,76,삼다수
2026-08-12,77,콘드로이친1200
2026-08-12,78,비타민d
2026-08-12,79,서울우유한끼식사
2026-08-12,80,장어
2026-08-12,81,쌀
2026-08-12,82,식염포도당
2026-08-12,83,아몬드
2026-08-12,84,냉면
2026-08-12,85,모짜렐라치즈
2026-08-12,86,찰옥수수
2026-08-12,87,단호박
2026-08-12,88,참외10kg
2026-08-12,89,딱딱이복숭아
2026-08-12,90,아르기닌
2026-08-12,91,양배추즙
2026-08-12,92,밀크씨슬
2026-08-12,93,루테인
2026-08-12,94,비에날17유산균
2026-08-12,95,참치캔
2026-08-12,96,초당옥수수
2026-08-12,97,버터
2026-08-12,98,당근주스
2026-08-12,99,뼈엔엠비피mbp
2026-08-12,100,망고
2026-08-12,101,단백질음료
2026-08-12,102,코엔자임q10
2026-08-12,103,흑염소진액
2026-08-12,104,매실
2026-08-12,105,마른오징어
2026-08-12,106,생새우
2026-08-12,107,이온음료
2026-08-12,108,돌문어
2026-08-12,109,닭다리살
2026-08-12,110,종가집포기김치
2026-08-12,111,삼겹살
2026-08-12,112,토마토즙
2026-08-12,113,생수500
2026-08-12,114,정관장
2026-08-12,115,la갈비
2026-08-12,116,얼박사
2026-08-12,117,알파cd
2026-08-12,118,루테인지아잔틴
2026-08-12,119,멀티비타민
2026-08-12,120,갈비탕
2026-08-12,121,오트밀
2026-08-12,122,명가삼대떡집
2026-08-12,123,코큐텐
2026-08-12,124,커큐민
2026-08-12,125,황태채
2026-08-12,126,자보티바
2026-08-12,127,반찬
2026-08-12,128,육포
2026-08-12,129,퀘르포민정
2026-08-12,130,샤오커오라사탕
2026-08-12,131,고추장
2026-08-12,132,구운계란
2026-08-12,133,락토핏유산균
2026-08-12,134,맥주효모
2026-08-12,135,무알콜맥주
2026-08-12,136,복분자
2026-08-12,137,민어회
2026-08-12,138,능이버섯
2026-08-12,139,마늘
2026-08-12,140,킹크랩
2026-08-12,141,포도
2026-08-12,142,체리
2026-08-12,143,도미솔김치
2026-08-12,144,복만네콩가루
2026-08-12,145,고등어
2026-08-12,146,마그네슘영양제
2026-08-12,147,컵라면
2026-08-12,148,땅콩버터
2026-08-12,149,무늬오징어
2026-08-12,150,간장게장
2026-08-12,151,꽃보다오징어
2026-08-12,152,정관장에브리타임
2026-08-12,153,촉촉한황치즈칩
2026-08-12,154,호두
2026-08-12,155,납작복숭아
2026-08-12,156,빅토리아탄산수
2026-08-12,157,팥빙수
2026-08-12,158,고려은단비타민c1000
2026-08-12,159,올리브유
2026-08-12,160,새우
2026-08-12,161,호랑이콩
2026-08-12,162,비피더스유산균
2026-08-12,163,구강유산균
2026-08-12,164,홍삼
2026-08-12,165,차전자피
2026-08-12,166,전투식량
2026-08-12,167,푸룬주스
2026-08-12,168,삼다수500ml
2026-08-12,169,양파
2026-08-12,170,커피믹스
2026-08-12,171,bnr17유산균
2026-08-12,172,이클립스
2026-08-12,173,총각김치
2026-08-12,174,샤인머스켓
2026-08-12,175,고구마
2026-08-12,176,열무
2026-08-12,177,종합비타민
2026-08-12,178,호관원
2026-08-12,179,참소스
2026-08-12,180,덴마크유산균
2026-08-12,181,들기름
2026-08-12,182,포카리스웨트분말
