date,rank,keyword
2026-07-08,1,닭가슴살
2026-07-08,2,프로틴
2026-07-08,3,제로음료
2026-07-08,4,밀키트
2026-07-08,5,오메가3
2026-07-08,6,비건
2026-07-08,7,저당
2026-07-08,8,곤약
2026-07-08,9,샐러드
2026-07-08,10,요거트
