date,rank,keyword
2026-06-26,1,닭가슴살
2026-06-26,2,프로틴
2026-06-26,3,제로음료
2026-06-26,4,밀키트
2026-06-26,5,오메가3
2026-06-26,6,비건
2026-06-26,7,저당
2026-06-26,8,곤약
2026-06-26,9,샐러드
2026-06-26,10,요거트
