date,rank,keyword
2026-06-23,1,닭가슴살
2026-06-23,2,프로틴
2026-06-23,3,제로음료
2026-06-23,4,밀키트
2026-06-23,5,오메가3
2026-06-23,6,비건
2026-06-23,7,저당
2026-06-23,8,곤약
2026-06-23,9,샐러드
2026-06-23,10,요거트
