date,rank,keyword
2026-09-12,1,쌀20kg
2026-09-12,2,추석선물세트
2026-09-12,3,닭가슴살
2026-09-12,4,쌀10kg
2026-09-12,5,오메가3
2026-09-12,6,꽃게
2026-09-12,7,도미솔김치
2026-09-12,8,la갈비
2026-09-12,9,무화과
2026-09-12,10,복숭아
2026-09-12,11,마그네슘
2026-09-12,12,사과
2026-09-12,13,유산균
2026-09-12,14,옥수수
2026-09-12,15,토마토
2026-09-12,16,비타민c
2026-09-12,17,두유
2026-09-12,18,파라다이스그레인
2026-09-12,19,젖산마그네슘
2026-09-12,20,수향미10kg
2026-09-12,21,올리브오일
2026-09-12,22,조선호텔김치
2026-09-12,23,탄산수
2026-09-12,24,학가산김치
2026-09-12,25,멸균우유
2026-09-12,26,김치
2026-09-12,27,콘드로이친
2026-09-12,28,생수
2026-09-12,29,명가삼대떡집
2026-09-12,30,바위굴
2026-09-12,31,안동학가산김치
2026-09-12,32,뉴케어
2026-09-12,33,베르베린
2026-09-12,34,전복
2026-09-12,35,견과류
2026-09-12,36,레몬즙
2026-09-12,37,정관장
2026-09-12,38,임박
2026-09-12,39,고구마
2026-09-12,40,자두
2026-09-12,41,맥심모카골드
2026-09-12,42,추석선물
2026-09-12,43,그릭요거트
2026-09-12,44,일리커피캡슐
2026-09-12,45,참기름
2026-09-12,46,멜라토닌
2026-09-12,47,생크림
2026-09-12,48,뉴케어구수한맛
2026-09-12,49,카무트효소
2026-09-12,50,창억떡
2026-09-12,51,하루견과
2026-09-12,52,수박
2026-09-12,53,병아리콩
2026-09-12,54,크레아틴
2026-09-12,55,스팸선물세트
2026-09-12,56,수향미
2026-09-12,57,진미채
2026-09-12,58,포스파티딜세린
2026-09-12,59,비타민d
2026-09-12,60,커큐민
2026-09-12,61,콘드로이친1200
2026-09-12,62,쌀
2026-09-12,63,단백질쉐이크
2026-09-12,64,새우
2026-09-12,65,레드와인비니거
2026-09-12,66,찹쌀누룽지과자
2026-09-12,67,햇반
2026-09-12,68,포카리스웨트
2026-09-12,69,생새우
2026-09-12,70,포도
2026-09-12,71,블루베리
2026-09-12,72,냉동블루베리
