date,rank,keyword
2026-06-30,1,닭가슴살
2026-06-30,2,프로틴
2026-06-30,3,제로음료
2026-06-30,4,밀키트
2026-06-30,5,오메가3
2026-06-30,6,비건
2026-06-30,7,저당
2026-06-30,8,곤약
2026-06-30,9,샐러드
2026-06-30,10,요거트
