date,rank,keyword
2026-06-22,1,닭가슴살
2026-06-22,2,프로틴
2026-06-22,3,제로음료
2026-06-22,4,밀키트
2026-06-22,5,오메가3
2026-06-22,6,비건
2026-06-22,7,저당
2026-06-22,8,곤약
2026-06-22,9,샐러드
2026-06-22,10,요거트
