date,rank,keyword
2026-07-03,1,닭가슴살
2026-07-03,2,프로틴
2026-07-03,3,제로음료
2026-07-03,4,밀키트
2026-07-03,5,오메가3
2026-07-03,6,비건
2026-07-03,7,저당
2026-07-03,8,곤약
2026-07-03,9,샐러드
2026-07-03,10,요거트
