date,rank,keyword
2026-06-19,1,닭가슴살
2026-06-19,2,프로틴
2026-06-19,3,제로음료
2026-06-19,4,밀키트
2026-06-19,5,오메가3
2026-06-19,6,비건
2026-06-19,7,저당
2026-06-19,8,곤약
2026-06-19,9,샐러드
2026-06-19,10,요거트
