date,rank,keyword
2026-06-24,1,닭가슴살
2026-06-24,2,프로틴
2026-06-24,3,제로음료
2026-06-24,4,밀키트
2026-06-24,5,오메가3
2026-06-24,6,비건
2026-06-24,7,저당
2026-06-24,8,곤약
2026-06-24,9,샐러드
2026-06-24,10,요거트
