keyword,appearances,early_avg_rank,late_avg_rank,new_entry,rising_score
팔도비빔면kbo,8,225.5,407.7,False,-178.17
장사의신밀키트,14,149.9,339.1,False,-182.29
암꽃게,8,254.4,445.7,False,-187.27
하이퍼셀코엔자임q10,7,176.3,367.2,False,-187.42
하카마,4,250.7,443,False,-190.33
삼백초lhf618,5,136.3,330.5,False,-191.67
장사의신장신몰,15,144.9,348.8,False,-196.39
프로바이오틱스,6,221.6,421,False,-196.4
찹쌀떡,6,218.8,430.5,False,-208.75
대저토마토,2,276,492,False,-215.0
아귀포,12,136,392.8,False,-250.8
젖산마그네슘,2,83,339,False,-255.0
백년화편,3,189.5,498,False,-307.0
캡슐커피,4,136,497,False,-359.0
