date,rank,keyword
2026-06-29,1,닭가슴살
2026-06-29,2,프로틴
2026-06-29,3,제로음료
2026-06-29,4,밀키트
2026-06-29,5,오메가3
2026-06-29,6,비건
2026-06-29,7,저당
2026-06-29,8,곤약
2026-06-29,9,샐러드
2026-06-29,10,요거트
