date,rank,keyword
2026-07-29,1,쌀20kg
2026-07-29,2,옥수수
2026-07-29,3,닭가슴살
2026-07-29,4,복숭아
2026-07-29,5,쌀10kg
2026-07-29,6,오메가3
2026-07-29,7,수박
2026-07-29,8,삼계탕
2026-07-29,9,생수
2026-07-29,10,블루베리
2026-07-29,11,자두
2026-07-29,12,탄산수
2026-07-29,13,바위굴
2026-07-29,14,수향미10kg
2026-07-29,15,감자
2026-07-29,16,마그네슘
2026-07-29,17,링티
2026-07-29,18,유산균
2026-07-29,19,비타민c
2026-07-29,20,계란
2026-07-29,21,두유
2026-07-29,22,포카리스웨트
2026-07-29,23,올리브오일
2026-07-29,24,콘드로이친
2026-07-29,25,멸균우유
2026-07-29,26,레드와인비니거
2026-07-29,27,레몬즙
2026-07-29,28,매실
2026-07-29,29,그릭요거트
2026-07-29,30,야채도사
2026-07-29,31,임박
2026-07-29,32,사과
2026-07-29,33,찹쌀누룽지과자
2026-07-29,34,뉴케어
2026-07-29,35,조선호텔김치
2026-07-29,36,김치
2026-07-29,37,아이스크림
2026-07-29,38,열무김치
2026-07-29,39,맥심모카골드
2026-07-29,40,참외
2026-07-29,41,냉동블루베리
2026-07-29,42,뉴케어구수한맛
2026-07-29,43,토마토
2026-07-29,44,콜라겐
2026-07-29,45,카무트효소
2026-07-29,46,괴산대학찰옥수수
2026-07-29,47,루테인
2026-07-29,48,병아리콩
2026-07-29,49,미숫가루
2026-07-29,50,알부민
2026-07-29,51,오징어
2026-07-29,52,전복
2026-07-29,53,장사의신쇼핑몰
2026-07-29,54,단백질쉐이크
2026-07-29,55,하루견과
2026-07-29,56,견과류
2026-07-29,57,문어
2026-07-29,58,찰옥수수
2026-07-29,59,참기름
2026-07-29,60,단호박
2026-07-29,61,창억떡
2026-07-29,62,두부면
2026-07-29,63,파라다이스그레인
2026-07-29,64,베르베린
2026-07-29,65,오이
2026-07-29,66,크레아틴
2026-07-29,67,학가산김치
2026-07-29,68,구운계란
2026-07-29,69,수향미
2026-07-29,70,복분자
