date,rank,keyword
2026-07-05,1,닭가슴살
2026-07-05,2,프로틴
2026-07-05,3,제로음료
2026-07-05,4,밀키트
2026-07-05,5,오메가3
2026-07-05,6,비건
2026-07-05,7,저당
2026-07-05,8,곤약
2026-07-05,9,샐러드
2026-07-05,10,요거트
