date,rank,keyword
2026-07-04,1,닭가슴살
2026-07-04,2,프로틴
2026-07-04,3,제로음료
2026-07-04,4,밀키트
2026-07-04,5,오메가3
2026-07-04,6,비건
2026-07-04,7,저당
2026-07-04,8,곤약
2026-07-04,9,샐러드
2026-07-04,10,요거트
