date,rank,keyword
2026-06-18,1,닭가슴살
2026-06-18,2,프로틴
2026-06-18,3,제로음료
2026-06-18,4,밀키트
2026-06-18,5,오메가3
2026-06-18,6,비건
2026-06-18,7,저당
2026-06-18,8,곤약
2026-06-18,9,샐러드
2026-06-18,10,요거트
