date,rank,keyword
2026-07-07,1,닭가슴살
2026-07-07,2,프로틴
2026-07-07,3,제로음료
2026-07-07,4,밀키트
2026-07-07,5,오메가3
2026-07-07,6,비건
2026-07-07,7,저당
2026-07-07,8,곤약
2026-07-07,9,샐러드
2026-07-07,10,요거트
