date,rank,keyword
2026-06-16,1,닭가슴살
2026-06-16,2,프로틴
2026-06-16,3,제로음료
2026-06-16,4,밀키트
2026-06-16,5,오메가3
2026-06-16,6,비건
2026-06-16,7,저당
2026-06-16,8,곤약
2026-06-16,9,샐러드
2026-06-16,10,요거트
