date,rank,keyword
2026-07-06,1,닭가슴살
2026-07-06,2,프로틴
2026-07-06,3,제로음료
2026-07-06,4,밀키트
2026-07-06,5,오메가3
2026-07-06,6,비건
2026-07-06,7,저당
2026-07-06,8,곤약
2026-07-06,9,샐러드
2026-07-06,10,요거트
