date,rank,keyword
2026-06-13,1,매실
2026-06-13,2,쌀20kg
2026-06-13,3,쌀10kg
2026-06-13,4,오메가3
2026-06-13,5,오디
2026-06-13,6,닭가슴살
2026-06-13,7,수박
2026-06-13,8,탄산수
2026-06-13,9,콜라겐
2026-06-13,10,블루베리
2026-06-13,11,체리
2026-06-13,12,감자
2026-06-13,13,복분자
2026-06-13,14,마그네슘
2026-06-13,15,산딸기
2026-06-13,16,콘드로이친
2026-06-13,17,올리브오일
2026-06-13,18,계란
2026-06-13,19,루테인
2026-06-13,20,야채도사
2026-06-13,21,참외
2026-06-13,22,뉴케어구수한맛
2026-06-13,23,마늘
2026-06-13,24,찹쌀누룽지과자
2026-06-13,25,황매실
2026-06-13,26,살구
2026-06-13,27,복숭아
2026-06-13,28,레몬즙
2026-06-13,29,생수
2026-06-13,30,비타민c
2026-06-13,31,참외10kg
2026-06-13,32,궁채
2026-06-13,33,뉴케어
2026-06-13,34,사과
2026-06-13,35,카무트효소
2026-06-13,36,야콘
2026-06-13,37,두유
2026-06-13,38,수향미10kg
2026-06-13,39,조선호텔김치
2026-06-13,40,콘드로이친1200
2026-06-13,41,bnr17유산균
2026-06-13,42,밀크씨슬
2026-06-13,43,그릭요거트
2026-06-13,44,완두콩
2026-06-13,45,토마토
2026-06-13,46,신비복숭아
2026-06-13,47,창억떡
2026-06-13,48,호랑이콩
2026-06-13,49,알부민
2026-06-13,50,포스파티딜세린
2026-06-13,51,cca주스
2026-06-13,52,매실10kg
2026-06-13,53,오이
2026-06-13,54,장사의신쇼핑몰
2026-06-13,55,촉촉한황치즈칩
2026-06-13,56,병아리콩
2026-06-13,57,냉동블루베리
2026-06-13,58,초당옥수수
2026-06-13,59,비정제원당
2026-06-13,60,김치
2026-06-13,61,옥수수
2026-06-13,62,멜론
2026-06-13,63,유산균
2026-06-13,64,멸균우유
2026-06-13,65,구운계란
2026-06-13,66,견과류
2026-06-13,67,샤오커오라사탕
2026-06-13,68,개복숭아
2026-06-13,69,파라다이스그레인
2026-06-13,70,루테인지아잔틴
2026-06-13,71,홍감자
2026-06-13,72,냉면
2026-06-13,73,다슬기
2026-06-13,74,냉면육수
2026-06-13,75,하루견과
2026-06-13,76,자두
2026-06-13,77,무늬오징어
2026-06-13,78,프로폴리스
2026-06-13,79,두리안
