date,rank,keyword
2026-06-20,1,닭가슴살
2026-06-20,2,프로틴
2026-06-20,3,제로음료
2026-06-20,4,밀키트
2026-06-20,5,오메가3
2026-06-20,6,비건
2026-06-20,7,저당
2026-06-20,8,곤약
2026-06-20,9,샐러드
2026-06-20,10,요거트
