date,rank,keyword
2026-07-01,1,닭가슴살
2026-07-01,2,프로틴
2026-07-01,3,제로음료
2026-07-01,4,밀키트
2026-07-01,5,오메가3
2026-07-01,6,비건
2026-07-01,7,저당
2026-07-01,8,곤약
2026-07-01,9,샐러드
2026-07-01,10,요거트
