date,rank,keyword
2026-06-04,1,매실
2026-06-04,2,쌀20kg
2026-06-04,3,쌀10kg
2026-06-04,4,닭가슴살
2026-06-04,5,수박
2026-06-04,6,탄산수
2026-06-04,7,생수
2026-06-04,8,산딸기
2026-06-04,9,오메가3
2026-06-04,10,참외
2026-06-04,11,감자
2026-06-04,12,계란
2026-06-04,13,블루베리
2026-06-04,14,복숭아
2026-06-04,15,두유
2026-06-04,16,오디
2026-06-04,17,임박
2026-06-04,18,올리브오일
2026-06-04,19,완두콩
2026-06-04,20,오이
2026-06-04,21,루테인
2026-06-04,22,장사의신쇼핑몰
2026-06-04,23,콜라겐
2026-06-04,24,창억떡
2026-06-04,25,참외10kg
2026-06-04,26,마늘쫑
2026-06-04,27,토마토
2026-06-04,28,꽃게
2026-06-04,29,밀키트
2026-06-04,30,초당옥수수
2026-06-04,31,콘드로이친
2026-06-04,32,그릭요거트
2026-06-04,33,사과
2026-06-04,34,비타민c
2026-06-04,35,유산균
2026-06-04,36,냉동블루베리
2026-06-04,37,뉴케어구수한맛
2026-06-04,38,마그네슘
2026-06-04,39,찹쌀누룽지과자
2026-06-04,40,신비복숭아
2026-06-04,41,체리
2026-06-04,42,포스파티딜세린
2026-06-04,43,병아리콩
2026-06-04,44,수향미10kg
2026-06-04,45,레몬즙
2026-06-04,46,복분자
2026-06-04,47,카무트효소
2026-06-04,48,뉴케어
2026-06-04,49,구운계란
2026-06-04,50,냉면
2026-06-04,51,맥심모카골드
2026-06-04,52,생새우
2026-06-04,53,망고
2026-06-04,54,하스카프베리
2026-06-04,55,살구
2026-06-04,56,김치
2026-06-04,57,멸균우유
2026-06-04,58,커큐민
2026-06-04,59,오징어
2026-06-04,60,조선호텔김치
2026-06-04,61,하루견과
2026-06-04,62,밀크씨슬
2026-06-04,63,청매실
2026-06-04,64,양배추즙
2026-06-04,65,포카리스웨트
2026-06-04,66,자두
2026-06-04,67,견과류
2026-06-04,68,깐매실
2026-06-04,69,토마토즙
2026-06-04,70,냉면육수
2026-06-04,71,새우포
2026-06-04,72,알부민
2026-06-04,73,생수2l
2026-06-04,74,닭다리살
2026-06-04,75,홍감자
2026-06-04,76,설탕15kg
2026-06-04,77,전복
2026-06-04,78,멀티비타민
2026-06-04,79,갑오징어
2026-06-04,80,애사비
2026-06-04,81,생수500
2026-06-04,82,야채도사
2026-06-04,83,오렌지
2026-06-04,84,햇반
2026-06-04,85,활새우
2026-06-04,86,삼계탕
2026-06-04,87,홍게
2026-06-04,88,대마종자유
2026-06-04,89,마늘
2026-06-04,90,단백질쉐이크
2026-06-04,91,열무김치
2026-06-04,92,삼다수
2026-06-04,93,락토핏유산균
2026-06-04,94,옥수수
2026-06-04,95,cca주스
2026-06-04,96,링티
2026-06-04,97,양파
2026-06-04,98,코큐텐
2026-06-04,99,단백질음료
2026-06-04,100,삼겹살
2026-06-04,101,장사의신밀키트
2026-06-04,102,카누
2026-06-04,103,궁채
2026-06-04,104,포켓몬빵
2026-06-04,105,비에날17유산균
2026-06-04,106,샤오커오라사탕
2026-06-04,107,방울토마토
2026-06-04,108,설탕
2026-06-04,109,고구마
2026-06-04,110,당근
2026-06-04,111,황매실
2026-06-04,112,이클립스
2026-06-04,113,프로폴리스
2026-06-04,114,비정제원당
2026-06-04,115,시오콘부
2026-06-04,116,아이스크림
2026-06-04,117,땅콩버터
2026-06-04,118,버터
2026-06-04,119,빅토리아탄산수
2026-06-04,120,딸기
2026-06-04,121,전투식량
2026-06-04,122,홍매실
2026-06-04,123,알파cd
2026-06-04,124,아몬드
2026-06-04,125,레드와인비니거
2026-06-04,126,미숫가루
2026-06-04,127,진미채
2026-06-04,128,멜론
2026-06-04,129,콘드로이친1200
2026-06-04,130,누룽지
2026-06-04,131,아르기닌
2026-06-04,132,수향미
2026-06-04,133,쌀
2026-06-04,134,쥐포
2026-06-04,135,커피믹스
2026-06-04,136,두리안
2026-06-04,137,무늬오징어
2026-06-04,138,차전자피
