date,rank,keyword
2026-06-27,1,닭가슴살
2026-06-27,2,프로틴
2026-06-27,3,제로음료
2026-06-27,4,밀키트
2026-06-27,5,오메가3
2026-06-27,6,비건
2026-06-27,7,저당
2026-06-27,8,곤약
2026-06-27,9,샐러드
2026-06-27,10,요거트
