date,rank,keyword
2026-07-02,1,닭가슴살
2026-07-02,2,프로틴
2026-07-02,3,제로음료
2026-07-02,4,밀키트
2026-07-02,5,오메가3
2026-07-02,6,비건
2026-07-02,7,저당
2026-07-02,8,곤약
2026-07-02,9,샐러드
2026-07-02,10,요거트
