date,rank,keyword
2026-06-21,1,닭가슴살
2026-06-21,2,프로틴
2026-06-21,3,제로음료
2026-06-21,4,밀키트
2026-06-21,5,오메가3
2026-06-21,6,비건
2026-06-21,7,저당
2026-06-21,8,곤약
2026-06-21,9,샐러드
2026-06-21,10,요거트
